      1 Streptomyces atroolivaceus
      1 Streptomyces brevispora
      1 Streptomyces brevispora
      1 Streptomyces brevispora
      1 Streptomyces brevispora
      1 Streptomyces sp.
      1 Streptomyces sp.
      1 Streptomyces sp.
      1 Streptomyces sp.
      1 Streptomyces sp.
      1 Streptomyces sp.
      1 Streptomyces sp.
      1 Streptomyces sp.
      1 Streptomyces sp.
      1 Streptomyces sp.
      1 Streptomyces sp.
      1 Streptomyces sp.
      1 Streptomyces sp.
      1 Streptomyces sp.
      1 Streptomyces sp.
      1 Streptomyces sp.
      1 Thermoactinomyces khenchelensis
      1 Undibacterium seohonense
      1 Variovorax ginsengisoli
      1 Variovorax ginsengisoli
      1 Variovorax ginsengisoli
      1 Zoogloea sp.
      1 bacterium
      1 bacterium
      1 bacterium
      1 bacterium
      1 bacterium
      1 bacterium
      1 bacterium
      1 bacterium
      1 bacterium
      1 bacterium
      1 bacterium
      1 bacterium
      1 bacterium
      1 bacterium
      1 bacterium
      1 bacterium
      1 bacterium
      1 bacterium
      1 bacterium
      1 bacterium
      1 bacterium
      1 bacterium
      1 bacterium
      1 bacterium
      1 bacterium
      1 bacterium
      1 bacterium
      1 bacterium
      1 bacterium
      1 bacterium
      1 bacterium
      1 bacterium
      1 bacterium
      1 bacterium
      1 bacterium
      1 bacterium
      1 bacterium
      1 bacterium 78-L049658-122-015-F10
      1 bacterium 78-L049658-122-015-F10
      1 bacterium 78-L049658-122-015-F10
      1 bacterium 78-L049658-122-015-F10
      1 bacterium Ellin6085
      1 bacterium Ellin6085
      1 bacterium SCGC
      1 bacterium SCGC
      2 Fraxinus excelsior
      2 Fraxinus excelsior
      2 Fraxinus excelsior
      2 Ginkgo biloba
      2 Ginkgo biloba
      2 Ginkgo biloba
      2 Nocardioides sp.
      2 Nocardioides sp.
      2 Pinus massoniana
      2 Pinus massoniana
      2 Pinus massoniana
      2 Pinus massoniana
      2 Pinus massoniana
      2 Pinus massoniana
      2 Pinus massoniana
      2 Pinus massoniana
      2 Pinus massoniana
      2 Pinus massoniana
      2 Pinus massoniana
      2 Pinus massoniana
      2 Pinus massoniana
      2 Pinus massoniana
      2 Pinus massoniana
      2 Pinus massoniana
      2 Pinus massoniana
      2 Pinus massoniana
      2 Pinus massoniana
      2 Pinus massoniana
      2 Pinus massoniana
      2 Pinus massoniana
      2 Pinus massoniana
      2 Pinus massoniana
      2 Pinus massoniana
      2 Pinus massoniana
      2 Pinus massoniana
      2 Pinus massoniana
      2 Pinus massoniana
      2 Pinus massoniana
      2 Pinus massoniana
      2 Pinus massoniana
      2 Pinus massoniana
      2 Pinus massoniana
      2 Pinus massoniana
      2 Pinus massoniana
      2 Pinus massoniana
      2 Pinus massoniana
      2 Pinus massoniana
      2 Pinus massoniana
      2 Pinus massoniana
      2 Pinus massoniana
      2 Roseisolibacter agri
      2 Rubus takesimensis
      2 Staphylococcus succinus
      2 Staphylococcus succinus
      2 Staphylococcus succinus
      2 Staphylococcus succinus
      2 Staphylococcus succinus
      2 Staphylococcus succinus
      2 Staphylococcus succinus
      2 Staphylococcus succinus
      2 Staphylococcus succinus
      2 Staphylococcus succinus
      2 Staphylococcus succinus
      2 Staphylococcus succinus
      2 Staphylococcus succinus
      2 Staphylococcus succinus
      2 Staphylococcus succinus
      2 Staphylococcus succinus
      2 Staphylococcus succinus
      2 Staphylococcus succinus
      2 Staphylococcus succinus
      2 Staphylococcus succinus
      2 Staphylococcus succinus
      2 Staphylococcus succinus
      2 Urochloa humidicola
      2 Urochloa humidicola
      2 Urochloa humidicola
      2 Urochloa humidicola
      2 Xanthomonas oryzae
      2 Xanthomonas oryzae
      3 Brachybacterium ginsengisoli
      3 Brachybacterium ginsengisoli
      3 Brachybacterium ginsengisoli
      3 Pinus massoniana
      3 Pinus massoniana
      3 Pinus massoniana
      3 Pinus massoniana
      3 Pinus massoniana
      3 Pinus massoniana
      3 Pinus massoniana
      3 Pinus massoniana
      3 Pinus massoniana
      3 Pinus massoniana
      3 Pinus massoniana
      3 Pinus massoniana
      3 Staphylococcus succinus
      4 Corynebacterium kutscheri
      4 Muribaculum intestinale
      4 Neisseria elongata
      4 Pinus massoniana
      4 Pinus massoniana
      4 Pinus massoniana
      4 Veillonella parvula
      5 Bacteroides caecimuris
      5 Bacteroides caecimuris
      5 Bacteroides caecimuris
      5 Bacteroides caecimuris
      5 Bacteroides caecimuris
      5 Pinus massoniana
      6 Actinobacillus porcitonsillarum
      6 Actinobacillus porcitonsillarum
      6 Actinobacillus porcitonsillarum
      6 Pseudomonas sp.
      7 Enterococcus cecorum
      8 Clostridium bornimense
      8 Clostridium bornimense
      8 Clostridium bornimense
      8 Clostridium bornimense
      8 Clostridium bornimense
     12 Actinobacillus porcitonsillarum
     16 Clostridium bornimense
